"","dtpv","date","time","district","kts","kuch","fatal","injury","driving_mode","latitude","longitude","road_cat","road_cond","weather_cond"
"133","pedestrian_hit",2019-01-10,2020-06-01 09:00:00,"kalin",1,2,0,1,"part_closed",30.378141,59.980822,"local","unknown","clear"
"134","collision",2019-01-10,2020-06-01 09:40:00,"petrograd",2,4,0,2,"part_closed",30.268428,59.971132,"local","snow","clouds"
"135","pedestrian_hit",2019-01-10,2020-06-01 09:50:00,"vyborg",1,3,0,2,"open",30.357542,59.986484,"local","unknown","clouds"
"136","collision",2019-01-10,2020-06-01 10:00:00,"vyborg",2,3,0,1,"open",30.382047,60.053285,"local","snow","clouds"
"137","obstacle_hit",2019-01-10,2020-06-01 11:25:00,"center",1,1,0,1,"part_closed",30.387175,59.956353,"local","snow","clouds"
"138","collision",2019-01-10,2020-06-01 12:30:00,"pushkin",4,6,0,2,"open",30.4319,59.6886,"local","wet","clear"
"139","pedestrian_hit",2019-01-10,2020-06-01 13:20:00,"nevski",2,5,0,3,"part_closed",30.406423,59.898323,"local","unknown","clouds"
"140","collision",2019-01-10,2020-06-01 14:50:00,"admiral",2,2,0,1,"open",30.258697,59.901497,"local","snow","clouds"
"141","pedestrian_hit",2019-01-10,2020-06-01 18:00:00,"petrodvorts",1,2,0,1,"part_closed",29.959202,59.872786,"local","snow","clear"
"142","collision",2019-01-10,2020-06-01 21:02:00,"nevski",2,2,0,1,"part_closed",30.453243,59.915644,"local","snow","clouds"
"143","pedestrian_hit",2019-01-10,2020-06-01 21:10:00,"kalin",1,2,0,1,"open",30.379397,60.018234,"local","snow","clear"
"144","collision",2019-01-11,2020-06-01 07:14:00,"frunz",2,5,0,3,"part_closed",30.39652,59.838875,"local","unknown","snow"
"145","collision",2019-01-11,2020-06-01 08:15:00,"primorsk",2,2,0,1,"part_closed",30.105779,59.997795,"local","snow","snow"
"146","pedestrian_hit",2019-01-11,2020-06-01 08:45:00,"nevski",1,2,0,1,"open",30.468414,59.848372,"not_specified","snow","clouds"
"147","pedestrian_hit",2019-01-11,2020-06-01 08:50:00,"nevski",1,2,0,1,"part_closed",30.478048,59.910782,"local","unknown","unknown"
"148","passenger_fall",2019-01-11,2020-06-01 09:00:00,"nevski",1,2,0,1,"open",30.48528,59.928754,"local","unknown","unknown"
"149","pedestrian_hit",2019-01-11,2020-06-01 09:40:00,"vyborg",1,2,0,1,"part_closed",30.321354,60.081861,"local","unknown","clouds"
"150","passenger_fall",2019-01-11,2020-06-01 11:30:00,"krasnogvard",1,2,0,1,"open",30.495965,59.970037,"local","unknown","clouds"
"151","pedestrian_hit",2019-01-11,2020-06-01 11:40:00,"mosk",1,2,0,1,"open",30.304348,59.85674,"local","snow","clear"
"152","pedestrian_hit",2019-01-11,2020-06-01 12:00:00,"nevski",1,2,0,1,"open",30.480269,59.894782,"not_specified","snow","clear"
"153","pedestrian_hit",2019-01-11,2020-06-01 13:05:00,"primorsk",2,2,0,1,"open",30.2908,60.0092,"not_specified","snow","clouds"
"154","pedestrian_hit",2019-01-11,2020-06-01 13:20:00,"krasnogvard",1,2,0,1,"part_closed",30.480258,59.944921,"local","unknown","unknown"
"155","pedestrian_hit",2019-01-11,2020-06-01 14:45:00,"vyborg",1,2,0,1,"part_closed",30.329046,60,"local","unknown","unknown"
"156","collision",2019-01-11,2020-06-01 19:16:00,"primorsk",2,3,0,1,"part_closed",30.259845,60.00051,"local","snow","clouds"
"157","pedestrian_hit",2019-01-11,2020-06-01 20:30:00,"frunz",1,2,0,1,"open",30.400511,59.851319,"local","unknown","clouds"
"158","collision",2019-01-11,2020-06-01 22:35:00,"mosk",2,2,0,1,"part_closed",30.321622,59.853356,"local","wet","clouds"
"159","collision",2019-01-11,2020-06-01 23:50:00,"kalin",2,2,0,1,"part_closed",30.436163,60.004007,"local","snow","clouds"
"160","collision",2019-01-11,2020-06-01 23:57:00,"pushkin",2,3,0,1,"open",30.41316,59.719488,"local","wet","clouds"
"161","hit_run",2019-01-12,2020-06-01 01:03:00,"krasnogvard",2,2,0,1,"part_closed",30.502467,59.944867,"local","unknown","unknown"
"162","collision",2019-01-12,2020-06-01 08:50:00,"kirov",3,3,0,1,"part_closed",30.275434,59.895142,"local","snow","clouds"
"163","collision",2019-01-12,2020-06-01 10:05:00,"krasnosel",2,3,0,1,"part_closed",30.147128,59.847747,"local","snow","clear"
"164","pedestrian_hit",2019-01-12,2020-06-01 11:40:00,"pushkin",1,2,0,1,"open",30.464541,59.737087,"local","wet","clear"
"165","collision",2019-01-12,2020-06-01 11:45:00,"krasnogvard",3,3,0,1,"part_closed",30.460603,59.952518,"local","snow","clear"
"166","pedestrian_hit",2019-01-12,2020-06-01 12:10:00,"vyborg",1,2,0,1,"open",30.346963,59.965032,"local","unknown","clear"
"167","pedestrian_hit",2019-01-12,2020-06-01 13:45:00,"center",2,3,0,1,"part_closed",30.325377,59.929963,"local","unknown","clear"
"168","collision",2019-01-12,2020-06-01 14:20:00,"kalin",2,2,0,1,"part_closed",30.407302,59.959979,"local","wet","clear"
"169","collision",2019-01-12,2020-06-01 14:40:00,"krasnogvard",2,3,0,1,"part_closed",30.492103,59.935828,"local","snow","clear"
"170","collision",2019-01-12,2020-06-01 15:00:00,"krasnosel",2,4,0,3,"part_closed",30.179529,59.861195,"local","unknown","unknown"
"171","collision",2019-01-12,2020-06-01 15:20:00,"vyborg",2,3,0,1,"part_closed",30.319701,60.030065,"local","unknown","clouds"
"172","collision",2019-01-12,2020-06-01 16:25:00,"kirov",2,3,0,1,"part_closed",30.193251,59.82346,"local","sleet","clouds"
"173","collision",2019-01-12,2020-06-01 16:55:00,"krasnogvard",2,3,0,2,"part_closed",30.486706,59.988008,"federal","wet","clear"
"174","pedestrian_hit",2019-01-12,2020-06-01 17:50:00,"center",1,2,0,1,"part_closed",30.345225,59.940654,"local","snow","clear"
"175","pedestrian_hit",2019-01-12,2020-06-01 20:30:00,"vyborg",1,2,0,1,"part_closed",30.344667,60.037031,"local","unknown","unknown"
"176","pedestrian_hit",2019-01-12,2020-06-01 21:30:00,"kalin",1,2,0,1,"open",30.377948,60.016926,"local","snow","clouds"
"177","collision",2019-01-12,2020-06-01 21:40:00,"petrodvorts",2,4,0,3,"part_closed",29.966884,59.871666,"local","snow","clouds"
"178","pedestrian_hit",2019-01-12,2020-06-01 22:25:00,"frunz",1,2,0,1,"open",30.341331,59.915601,"local","snow","clear"
"179","pedestrian_hit",2019-01-13,2020-06-01 01:58:00,"admiral",1,2,0,1,"open",30.281303,59.913439,"local","wet","clouds"
"180","collision",2019-01-13,2020-06-01 05:44:00,"kirov",3,3,0,1,"part_closed",30.256552,59.841101,"local","wet","clouds"
"181","collision",2019-01-13,2020-06-01 09:50:00,"pushkin",4,3,0,1,"part_closed",30.499957,59.771112,"local","wet","clear"
"182","passenger_fall",2019-01-13,2020-06-01 10:00:00,"krasnosel",1,2,0,1,"open",30.229665,59.857526,"local","snow","clear"
"183","pedestrian_hit",2019-01-13,2020-06-01 10:35:00,"nevski",1,2,0,1,"part_closed",30.482737,59.905661,"not_specified","snow","clouds"
"184","collision",2019-01-13,2020-06-01 10:55:00,"primorsk",2,3,0,2,"open",30.307159,59.996454,"local","wet","clear"
"185","pedestrian_hit",2019-01-13,2020-06-01 11:20:00,"center",1,2,0,1,"part_closed",30.348712,59.946495,"local","unknown","clear"
"186","pedestrian_hit",2019-01-13,2020-06-01 12:40:00,"mosk",1,2,0,1,"open",30.296645,59.851271,"not_specified","snow","clouds"
"187","collision",2019-01-13,2020-06-01 16:05:00,"kirov",2,3,0,1,"part_closed",30.287021,59.861438,"local","snow","clouds"
"188","collision",2019-01-13,2020-06-01 16:30:00,"mosk",2,4,0,3,"part_closed",30.354259,59.848436,"local","wet","clouds"
"189","obstacle_hit",2019-01-13,2020-06-01 17:15:00,"admiral",1,1,0,1,"part_closed",30.298748,59.920517,"local","snow","snow"
"190","pedestrian_hit",2019-01-13,2020-06-01 17:30:00,"center",1,2,0,1,"part_closed",30.348412,59.941476,"local","unknown","unknown"
"191","collision",2019-01-13,2020-06-01 18:17:00,"petrograd",3,3,0,2,"closed",30.281303,59.966289,"local","snow","clear"
"192","collision",2019-01-13,2020-06-01 20:00:00,"nevski",2,3,0,1,"open",30.446999,59.893382,"local","wet","clouds"
"193","collision",2019-01-14,2020-06-01 00:10:00,"nevski",2,3,0,1,"part_closed",30.47013,59.919775,"local","unknown","unknown"
"194","collision",2019-01-14,2020-06-01 00:50:00,"vyborg",2,2,0,1,"part_closed",30.341792,60.075932,"local","unknown","clouds"
"195","pedestrian_hit",2019-01-14,2020-06-01 01:30:00,"kirov",1,2,0,1,"open",30.276539,59.84371,"local","unknown","unknown"
"196","pedestrian_hit",2019-01-14,2020-06-01 07:50:00,"vyborg",1,2,0,1,"part_closed",30.339968,59.989956,"local","unknown","unknown"
"197","pedestrian_hit",2019-01-14,2020-06-01 08:50:00,"petrodvorts",1,2,0,1,"part_closed",30.025667,59.853863,"local","snow","snow"
"198","pedestrian_hit",2019-01-14,2020-06-01 09:00:00,"krasnosel",1,2,0,1,"open",30.210471,59.846486,"local","snow","clear"
"199","collision",2019-01-14,2020-06-01 09:05:00,"nevski",2,3,0,1,"part_closed",30.44613,59.874207,"local","wet","clouds"
"200","pedestrian_hit",2019-01-14,2020-06-01 09:10:00,"krasnogvard",1,2,0,1,"open",30.408032,59.936215,"local","unknown","clouds"
